ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.46603,-8.93037,-3.98874,38511,2019-06-25 09:03:54:644
0.4549,-9.22725,-3.76368,39010,2019-06-25 09:03:55:143
-0.05267,-9.77313,-2.12605,39510,2019-06-25 09:03:55:643
3.50511,-8.65264,-4.07493,40010,2019-06-25 09:03:56:143
-2.37984,-8.72447,-3.07415,40509,2019-06-25 09:03:56:642
2.94008,-9.05966,-4.23774,41009,2019-06-25 09:03:57:142
2.58574,-9.13148,-3.98395,41509,2019-06-25 09:03:57:642
-3.81157,-8.56645,-3.88818,42009,2019-06-25 09:03:58:142
3.52426,-9.49062,-4.956,42510,2019-06-25 09:03:58:643
-0.35434,-9.1267,-3.59609,43010,2019-06-25 09:03:59:143
2.78206,-8.71489,-3.59609,43510,2019-06-25 09:03:59:643
2.89698,-9.0022,-2.83473,44009,2019-06-25 09:04:00:142
-3.66313,-8.86333,-3.50511,44509,2019-06-25 09:04:00:642
2.52828,-8.97826,-4.09408,45010,2019-06-25 09:04:01:143
2.73897,-8.80587,-3.99832,45511,2019-06-25 09:04:01:644
-2.80122,-9.25598,-2.46603,46010,2019-06-25 09:04:02:143
3.1364,-8.93995,-4.46279,46510,2019-06-25 09:04:02:643
1.87705,-9.11233,-3.55778,47010,2019-06-25 09:04:03:143
-1.1971,-9.31823,-4.07014,47510,2019-06-25 09:04:03:643
3.53863,-8.54251,-3.65355,48009,2019-06-25 09:04:04:142
-0.47405,-9.27993,-3.77326,48510,2019-06-25 09:04:04:643
0.0431,-9.50019,-3.91213,49010,2019-06-25 09:04:05:143
3.47159,-8.96389,-2.80122,49510,2019-06-25 09:04:05:643
-4.1276,-9.23683,-2.9736,50009,2019-06-25 09:04:06:142
1.54665,-9.84017,-3.44286,50510,2019-06-25 09:04:06:643
2.96881,-8.72926,-2.68151,51010,2019-06-25 09:04:07:143
-2.47082,-8.64307,-2.50912,51510,2019-06-25 09:04:07:643
1.29287,-9.39964,-3.78763,52009,2019-06-25 09:04:08:142
1.93452,-8.9208,-2.61447,52510,2019-06-25 09:04:08:643
-2.19309,-8.89206,-3.16992,53009,2019-06-25 09:04:09:142
-1.41258,-8.5904,-5.0805,53511,2019-06-25 09:04:09:644
-1.37427,-8.22169,-5.76045,54010,2019-06-25 09:04:10:143
-2.00155,-8.52336,-4.84586,54511,2019-06-25 09:04:10:644
3.41892,-8.53772,-5.01825,55011,2019-06-25 09:04:11:144
2.71981,-8.43717,-4.36224,55510,2019-06-25 09:04:11:643
-2.47082,-8.50899,-4.97994,56010,2019-06-25 09:04:12:143
3.43329,-8.36534,-4.0893,56509,2019-06-25 09:04:12:642
-0.62249,-8.97347,-3.78763,57011,2019-06-25 09:04:13:144
1.22583,-9.0022,-3.84988,57510,2019-06-25 09:04:13:643
3.10767,-8.68138,-4.60644,58010,2019-06-25 09:04:14:143
-1.23541,-8.76757,-3.99353,58509,2019-06-25 09:04:14:642
2.92093,-8.96389,-1.99198,59009,2019-06-25 09:04:15:142
2.35589,-9.04529,-3.15077,59509,2019-06-25 09:04:15:642
-2.19788,-8.97826,-3.05021,60009,2019-06-25 09:04:16:142
-2.98318,-8.78672,-2.92093,60509,2019-06-25 09:04:16:642
2.14999,-8.90643,-2.8922,61010,2019-06-25 09:04:17:143
-0.48842,-8.90643,-3.9217,61510,2019-06-25 09:04:17:643
3.52905,-8.67659,-3.56257,62010,2019-06-25 09:04:18:143
3.56257,-8.48984,-3.95043,62509,2019-06-25 09:04:18:642
4.31914,-8.38928,-3.65834,63010,2019-06-25 09:04:19:143
13.23515,-0.39744,-1.71425,63509,2019-06-25 09:04:19:642
9.83059,2.69587,-2.92093,64009,2019-06-25 09:04:20:142
4.52504,4.87938,5.12359,64509,2019-06-25 09:04:20:642
4.64475,8.81545,3.97437,65010,2019-06-25 09:04:21:143
1.95846,7.9679,6.91924,65509,2019-06-25 09:04:21:642
-0.97205,7.37893,6.24887,66009,2019-06-25 09:04:22:142
1.22583,8.56645,4.1276,66509,2019-06-25 09:04:22:642
